Block,Plot,Locality,Pool,PoolID,LL,PoolType,LocalType,LarvaePlot,LarvaeLocal,LarvaePool,Pool.Local.Comp,Prop,Sum,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
1,1,1,1,11-11,0.5,H,H,Y,Y,Y,HHY,0.585972851,518,3,29,70,72,92,116,136
1,1,1,2,11-12,0.5,H,H,Y,Y,Y,HHY,0.414027149,366,7,37,58,45,76,77,66
1,1,2,1,11-21,0.1,L,M,Y,Y,N,LMY,0.153846154,100,4,7,6,32,30,18,3
1,1,2,2,11-22,0.5,H,M,Y,Y,Y,HMY,0.846153846,550,0,56,62,143,175,61,53
1,1,3,1,11-31,0.1,L,L,Y,N,N,LLY,0.61827957,115,5,8,17,40,12,11,22
1,1,3,2,11-32,0.1,L,L,Y,N,N,LLY,0.38172043,71,6,1,17,8,16,14,9
1,2,1,1,12-11,0.1,L,L,N,N,N,LLN,0.580110497,105,8,9,25,11,23,19,10
1,2,1,2,12-12,0.1,L,L,N,N,N,LLN,0.419889503,76,3,21,10,12,2,13,15
1,2,2,1,12-21,0.5,H,M,N,N,N,HMN,0.790361446,328,5,47,50,48,63,38,77
1,2,2,2,12-22,0.1,L,M,N,N,N,LMN,0.209638554,87,7,22,4,17,21,6,10
1,2,3,1,12-31,0.5,H,H,N,N,N,HHN,0.566358025,367,3,74,43,110,52,40,45
1,2,3,2,12-32,0.5,H,H,N,N,N,HHN,0.433641975,281,5,45,116,30,12,45,28
2,1,1,1,21-11,0.5,H,M,N,N,N,HMN,0.778838504,979,66,123,237,107,137,108,201
2,1,1,2,21-12,0.1,L,M,N,N,N,LMN,0.221161496,278,44,17,48,36,25,37,71
2,1,2,1,21-21,0.1,L,L,N,N,N,LLN,0.682492582,230,37,5,52,16,27,54,39
2,1,2,2,21-22,0.1,L,L,N,N,N,LLN,0.317507418,107,8,0,13,14,23,28,21
2,1,3,1,21-31,0.5,H,H,N,N,N,HHN,0.543202417,899,62,163,115,173,94,123,169
2,1,3,2,21-32,0.5,H,H,N,N,N,HHN,0.456797583,756,52,117,101,81,113,148,144
2,2,1,1,22-11,0.1,L,M,Y,Y,N,LMY,0.423440454,224,27,47,65,45,5,1,34
2,2,1,2,22-12,0.5,H,M,Y,Y,Y,HMY,0.576559546,305,47,28,10,64,66,36,54
2,2,2,1,22-21,0.1,L,L,Y,N,N,LLY,0.3203125,41,1,5,11,4,5,3,12
2,2,2,2,22-22,0.1,L,L,Y,N,N,LLY,0.6796875,87,8,13,23,28,11,1,3
2,2,3,1,22-31,0.5,H,H,Y,Y,Y,HHY,0.629246677,426,8,61,79,41,78,83,76
2,2,3,2,22-32,0.5,H,H,Y,Y,Y,HHY,0.370753323,251,8,11,43,56,44,35,54
3,1,1,1,31-11,0.5,H,M,N,N,N,HMN,0.614785992,158,12,33,17,5,31,30,30
3,1,1,2,31-12,0.1,L,M,N,N,N,LMN,0.385214008,99,17,15,1,26,16,9,15
3,1,2,1,31-21,0.5,H,H,N,N,N,HHN,0.658227848,104,9,8,17,23,12,8,27
3,1,2,2,31-22,0.5,H,H,N,N,N,HHN,0.341772152,54,9,12,4,9,2,2,16
3,1,3,1,31-31,0.1,L,L,N,N,N,LLN,0.631840796,127,10,10,13,15,30,27,22
3,1,3,2,31-32,0.1,L,L,N,N,N,LLN,0.368159204,74,10,3,7,24,10,7,13
3,2,1,1,32-11,0.1,L,L,Y,N,N,LLY,0.447798742,356,105,56,46,48,55,37,9
3,2,1,2,32-12,0.1,L,L,Y,N,N,LLY,0.552201258,439,88,67,81,113,48,37,5
3,2,2,1,32-21,0.5,H,H,Y,Y,Y,HHY,0.654556284,1099,31,117,116,226,360,228,21
3,2,2,2,32-22,0.5,H,H,Y,Y,Y,HHY,0.345443716,580,66,84,103,24,23,173,107
3,2,3,1,32-31,0.1,L,M,Y,Y,N,LMY,0.293527803,322,30,51,50,37,72,55,27
3,2,3,2,32-32,0.5,H,M,Y,Y,Y,HMY,0.706472197,775,7,107,100,13,212,159,177
4,1,1,1,41-11,0.1,L,L,Y,N,N,LLY,0.487179487,209,33,21,16,30,39,40,30
