Array,Pool,Pool ID,Density,Day,Rafts,Date
1,1,1.1,550,1,2,9/14/2017
1,2,1.2,330,1,1,9/14/2017
1,3,1.3,770,1,3,9/14/2017
1,4,1.4,0,1,17,9/14/2017
1,1,1.1,550,2,6,9/15/2017
1,2,1.2,330,2,1,9/15/2017
1,3,1.3,770,2,3,9/15/2017
1,4,1.4,0,2,31,9/15/2017
1,1,1.1,550,3,1,9/16/2017
1,2,1.2,330,3,1,9/16/2017
1,3,1.3,770,3,7,9/16/2017
1,4,1.4,0,3,22,9/16/2017
1,1,1.1,550,4,5,9/17/2017
1,2,1.2,330,4,25,9/17/2017
1,3,1.3,770,4,1,9/17/2017
1,4,1.4,0,4,132,9/17/2017
1,1,1.1,550,5,30,9/18/2017
1,2,1.2,330,5,31,9/18/2017
1,3,1.3,770,5,59,9/18/2017
1,4,1.4,0,5,132,9/18/2017
2,1,2.1,550,1,0,9/17/2017
2,2,2.2,330,1,2,9/17/2017
2,3,2.3,0,1,14,9/17/2017
2,4,2.4,770,1,0,9/17/2017
2,1,2.1,550,2,4,9/18/2017
2,2,2.2,330,2,9,9/18/2017
2,3,2.3,0,2,4,9/18/2017
2,4,2.4,770,2,2,9/18/2017
2,1,2.1,550,3,6,9/19/2017
2,2,2.2,330,3,8,9/19/2017
2,3,2.3,0,3,1,9/19/2017
2,4,2.4,770,3,8,9/19/2017
2,1,2.1,550,4,5,9/20/2017
2,2,2.2,330,4,4,9/20/2017
2,3,2.3,0,4,10,9/20/2017
2,4,2.4,770,4,6,9/20/2017
2,1,2.1,550,5,5,9/21/2017
2,2,2.2,330,5,4,9/21/2017
2,3,2.3,0,5,4,9/21/2017
2,4,2.4,770,5,3,9/21/2017
3,1,3.1,550,1,0,9/18/2017
3,2,3.2,770,1,0,9/18/2017
3,3,3.3,330,1,0,9/18/2017
3,4,3.4,0,1,26,9/18/2017
3,1,3.1,550,2,0,9/19/2017
3,2,3.2,770,2,0,9/19/2017
3,3,3.3,330,2,0,9/19/2017
3,4,3.4,0,2,9,9/19/2017
3,1,3.1,550,3,2,9/20/2017
3,2,3.2,770,3,0,9/20/2017
3,3,3.3,330,3,9,9/20/2017
3,4,3.4,0,3,23,9/20/2017
3,1,3.1,550,4,3,9/21/2017
3,2,3.2,770,4,0,9/21/2017
3,3,3.3,330,4,2,9/21/2017
3,4,3.4,0,4,21,9/21/2017
3,1,3.1,550,5,0,9/22/2017
3,2,3.2,770,5,0,9/22/2017
3,3,3.3,330,5,2,9/22/2017
3,4,3.4,0,5,1,9/22/2017
4,1,4.1,0,1,66,9/19/2017
4,2,4.2,330,1,16,9/19/2017
4,3,4.3,550,1,6,9/19/2017
4,4,4.4,770,1,1,9/19/2017
4,1,4.1,0,2,5,9/20/2017
4,2,4.2,330,2,34,9/20/2017
4,3,4.3,550,2,11,9/20/2017
4,4,4.4,770,2,8,9/20/2017
4,1,4.1,0,3,19,9/21/2017
4,2,4.2,330,3,5,9/21/2017
4,3,4.3,550,3,11,9/21/2017
4,4,4.4,770,3,2,9/21/2017
4,1,4.1,0,4,4,9/22/2017
4,2,4.2,330,4,0,9/22/2017
4,3,4.3,550,4,2,9/22/2017
4,4,4.4,770,4,5,9/22/2017
4,1,4.1,0,5,2,9/23/2017
4,2,4.2,330,5,0,9/23/2017
4,3,4.3,550,5,8,9/23/2017
4,4,4.4,770,5,5,9/23/2017
5,1,5.1,0,1,127,9/21/2017
5,2,5.2,550,1,5,9/21/2017
5,3,5.3,770,1,3,9/21/2017
5,4,5.4,330,1,3,9/21/2017
5,1,5.1,0,2,24,9/22/2017
5,2,5.2,550,2,43,9/22/2017
5,3,5.3,770,2,12,9/22/2017
5,4,5.4,330,2,14,9/22/2017
5,1,5.1,0,3,57,9/23/2017
5,2,5.2,550,3,15,9/23/2017
5,3,5.3,770,3,2,9/23/2017
5,4,5.4,330,3,13,9/23/2017
5,1,5.1,0,4,47,9/24/2017
5,2,5.2,550,4,36,9/25/2017
5,3,5.3,770,4,11,9/26/2017
5,4,5.4,330,4,21,9/27/2017
5,1,5.1,0,5,53,9/25/2017
5,2,5.2,550,5,25,9/25/2017
5,3,5.3,770,5,22,9/25/2017
5,4,5.4,330,5,21,9/25/2017
6,1,6.1,330,1,1,9/22/2017
6,2,6.2,550,1,4,9/22/2017
6,3,6.3,770,1,0,9/22/2017
6,4,6.4,0,1,27,9/22/2017
6,1,6.1,330,2,6,9/23/2017
6,2,6.2,550,2,16,9/23/2017
6,3,6.3,770,2,4,9/23/2017
6,4,6.4,0,2,6,9/23/2017
6,1,6.1,330,3,14,9/24/2017
