Block,Locality,Pool,PoolID,PoolType,LocalityType,Pool.Locality,Day,Rafts
1,1,1,11.1,Control,CCL,Control.CCL,1,12
1,1,1,11.1,Control,CCL,Control.CCL,2,30
1,1,1,11.1,Control,CCL,Control.CCL,3,8
1,1,1,11.1,Control,CCL,Control.CCL,4,0
1,1,1,11.1,Control,CCL,Control.CCL,5,41
1,1,2,11.2,Competition,CCL,Competition.CCL,1,3
1,1,2,11.2,Competition,CCL,Competition.CCL,2,34
1,1,2,11.2,Competition,CCL,Competition.CCL,3,7
1,1,2,11.2,Competition,CCL,Competition.CCL,4,0
1,1,2,11.2,Competition,CCL,Competition.CCL,5,8
1,1,3,11.3,Control,CCL,Control.CCL,1,41
1,1,3,11.3,Control,CCL,Control.CCL,2,16
1,1,3,11.3,Control,CCL,Control.CCL,3,27
1,1,3,11.3,Control,CCL,Control.CCL,4,1
1,1,3,11.3,Control,CCL,Control.CCL,5,56
1,2,1,12.1,Control,CCC,Control.CCC,1,17
1,2,1,12.1,Control,CCC,Control.CCC,2,35
1,2,1,12.1,Control,CCC,Control.CCC,3,5
1,2,1,12.1,Control,CCC,Control.CCC,4,0
1,2,1,12.1,Control,CCC,Control.CCC,5,55
1,2,2,12.2,Control,CCC,Control.CCC,1,30
1,2,2,12.2,Control,CCC,Control.CCC,2,23
1,2,2,12.2,Control,CCC,Control.CCC,3,6
1,2,2,12.2,Control,CCC,Control.CCC,4,0
1,2,2,12.2,Control,CCC,Control.CCC,5,20
1,2,3,12.3,Control,CCC,Control.CCC,1,12
1,2,3,12.3,Control,CCC,Control.CCC,2,39
1,2,3,12.3,Control,CCC,Control.CCC,3,16
1,2,3,12.3,Control,CCC,Control.CCC,4,1
1,2,3,12.3,Control,CCC,Control.CCC,5,32
1,3,1,13.1,Control,CLL,Control.CLL,1,5
1,3,1,13.1,Control,CLL,Control.CLL,2,16
1,3,1,13.1,Control,CLL,Control.CLL,3,14
1,3,1,13.1,Control,CLL,Control.CLL,4,0
1,3,1,13.1,Control,CLL,Control.CLL,5,36
1,3,2,13.2,Competition,CLL,Competition.CLL,1,0
1,3,2,13.2,Competition,CLL,Competition.CLL,2,2
1,3,2,13.2,Competition,CLL,Competition.CLL,3,10
1,3,2,13.2,Competition,CLL,Competition.CLL,4,0
1,3,2,13.2,Competition,CLL,Competition.CLL,5,2
1,3,3,13.3,Competition,CLL,Competition.CLL,1,0
1,3,3,13.3,Competition,CLL,Competition.CLL,2,5
1,3,3,13.3,Competition,CLL,Competition.CLL,3,8
1,3,3,13.3,Competition,CLL,Competition.CLL,4,0
1,3,3,13.3,Competition,CLL,Competition.CLL,5,2
1,4,1,14.1,Competition,LLL,Competition.LLL,1,0
1,4,1,14.1,Competition,LLL,Competition.LLL,2,4
1,4,1,14.1,Competition,LLL,Competition.LLL,3,11
1,4,1,14.1,Competition,LLL,Competition.LLL,4,0
1,4,1,14.1,Competition,LLL,Competition.LLL,5,1
1,4,2,14.2,Competition,LLL,Competition.LLL,1,0
1,4,2,14.2,Competition,LLL,Competition.LLL,2,2
1,4,2,14.2,Competition,LLL,Competition.LLL,3,5
